title,content,url,date,category,file_name,language,covid,health,political,weather,crime,legal,sports,economic,general,education,lifestyle,business,tech,auto,entertainment,arts
අද විදුලි කප්පාදුව සිදුවන ප්‍රදේශ,"අද (06) දිනයේත්‌ පැය දෙකහමාරක්‌ සඳහා විදුලිය කප්පාදු කිරීමට අවසර ලබාදී ඇති බව මහජන උපයෝගීතා කොමිසමේ සභාපති ජනක රත්නායක මහතා පවසයි.ඒ අනුව, 24.8 සහ ල කලාපවලට පමණක්‌ පෙරවරු 09.00 සිට පස්වරු 04.30 දක්වා කාලය තුළ විදුලිය කප්පාදුව සිදුවිය හැකි බව ඔහු ප්‍රකාශ කළේය.",http://sinhala.adaderana.lk/news/164940/%E0%B6%85%E0%B6%AF-%E0%B7%80%E0%B7%92%E0%B6%AF%E0%B7%94%E0%B6%BD%E0%B7%92-%E0%B6%9A%E0%B6%B4%E0%B7%8A%E0%B6%B4%E0%B7%8F%E0%B6%AF%E0%B7%94%E0%B7%80-%E0%B7%83%E0%B7%92%E0%B6%AF%E0%B7%94%E0%B7%80%E0%B6%B1-%E0%B6%B4%E0%B7%8A%E2%80%8D%E0%B6%BB%E0%B6%AF%E0%B7%9A%E0%B7%81,2022-03-06,general,data/valid_records/Tharusha_352.json,si,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Man murdered and body burnt inside house in Kuruwita,"A person has been found murdered and his body torched inside a house located at Boraluwa in Kuruwita.Police said that the victim had been attacked with a sharp object and murdered by another individual after an argument between them had escalated out of control. Later, the body of the victim had reportedly been burned inside the house itself using cloth.",http://www.adaderana.lk/news/80564/man-murdered-and-body-burnt-inside-house-in-kuruwita,2022-02-13,crime,data/valid_records/Tharusha_186.json,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
இலங்கை நிலைபெறுதகு வலு அதிகார சபைக்கு ஜனாதிபதி திடீர் விஜயம்,"இலங்கை நிலைபெறுதகு வலு அதிகார சபைக்கு  ஜனாதிபதி கோட்டாபய ராஜபக்ஸ இன்று  திடீர் விஜயம் மேற்கொண்டார்.நீர், சூரியசக்தி, காற்று போன்ற மீள்புதுப்பிக்கத்தக்க சக்திகளைக் கொண்டு மின்சார உற்பத்தியை மேற்கொள்வதற்கான இயலுமை தொடர்பில் இலங்கை நிலைபெறுதகு வலு அதிகார சபையின் அதிகாரிகளை நேரடியாக சந்தித்து தகவல்களை பெற்றுக்கொள்ளும் நோக்கில் ஜனாதிபதி அங்கு சென்றதாக ஜனாதிபதியின் ஊடகப் பிரிவு அறிவித்துள்ளது.சுபீட்சத்தின் நோக்கு கொள்கை பிரகடனத்திற்கு அமைய, 2030 ஆம் ஆண்டாகும் போது நாட்டின் மொத்த மின்னுற்பத்தியில் 70 வீதத்தை மீள்புதுப்பிக்கத்தக்க சக்தி ஊடாக பெற்றுக்கொள்வதே அரசாங்கத்தின் நோக்கமாக உள்ளது.இதேவேளை, நாட்டில் தற்போது ஏற்பட்டுள்ள மின்சார நெருக்கடிக்கு மீள்புதுப்பிக்கத்தக்க சக்தி பயன்பாட்டின் ஊடாக குறுகிய கால தீர்வு காண்பதற்கான இயலுமை தொடர்பிலும் இன்று ஆராயப்பட்டதாக ஜனாதிபதி ஊடகப் பிரிவு தெரிவித்துள்ளது.புதிதாக ஆரம்பிப்பதற்கு கோரிக்கை விடுக்கப்பட்டுள்ள மீள் புதுப்பிக்கதக்க சக்தி பயன்பாட்டிலான திட்டங்களுக்கு அனுமதி வழங்குவதில் ஏற்பட்டுள்ள தாமதங்கள் தொடர்பில் ஆராய்வதும் ஜனாதிபதியின் இன்றைய திடீர் விஜயத்தின் நோக்கமாக இருந்ததென ஜனாதிபதி ஊடகப் பிரிவு விடுத்துள்ள அறிக்கையில் குறிப்பிடப்பட்டுள்ளது.",https://www.newsfirst.lk/tamil/2022/02/18/%e0%ae%87%e0%ae%b2%e0%ae%99%e0%af%8d%e0%ae%95%e0%af%88-%e0%ae%a8%e0%ae%bf%e0%ae%b2%e0%af%88%e0%ae%aa%e0%af%86%e0%ae%b1%e0%af%81%e0%ae%a4%e0%ae%95%e0%af%81-%e0%ae%b5%e0%ae%b2%e0%af%81-%e0%ae%85/,2022-02-18,"economic,general",data/valid_records/Kajaani_tamil_173.json,ta,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
257 more patients recover from novel coronavirus,"A total of 257 more patients have recovered from Covid-19 infection within the last 24 hours, the Health Ministry said today.This brings the total number of Covid-19 recoveries in the country to 607,583.As per official figures, approximately 15,659 virus-infected patients are being treated in the country at present.Sri Lanka has now seen 639,297 positive cases in total and 16,055 deaths since the outbreak of the pandemic.",http://www.adaderana.lk/news/80779/257-more-patients-recover-from-novel-coronavirus,2022-02-23,"health, covid",data/valid_records/Tharusha_33.json,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another 125 schools to become National Schools,"Sri Lanka’s Ministry of Education said that another 125 schools would be elevated to the National School level. National Schools Director Kithsiri Liyanagama speaking to News1st said 125 Divisional Secretariats with zero national schools will be designated a national school each.The National Schools Director also said that 9 schools in 9 provinces were converted to National Schools. At present, there are 382 National Schools operating in Sri Lanka and the objective of the National Schools program is to award a better education experience for students.",https://www.newsfirst.lk/2022/02/18/another-125-schools-to-become-national-schools/,2022-02-18,education,data/valid_records/Akesh_12_en.json,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
பிரதமர் தலைமையில் இடம்பெற்ற சர்வதேச தாய் மொழி தின நிகழ்வு.,"சர்வதேச தாய்மொழி தினம் (International Mother Language Day) பிரதமர் மஹிந்த ராஜபக்ஷ அவர்களின் தலைமையில் இன்று (21) முற்பகல் கொழும்பு சுதந்திர சதுக்கத்தில் நடைபெற்றது.

ஆண்டுதோறும் பெப்ரவரி 21ஆம் திகதி கொண்டாடப்படும் சர்வதேச தாய்மொழி தினமானது அமைதியை நிலைநாட்டுதல், பன்மொழி பயன்பாட்டை மேம்படுத்துதல் மற்றும் உலகம் முழுவதும் தாய்மொழிகளைப் பாதுகாப்பதை நோக்கமாகக் கொண்டுள்ளது.

இலங்கைக்கான பங்களாதேஷ் உயர் ஸ்தானிகராலயம், கல்வி அமைச்சு, ஐக்கிய நாடுகள் சபையின் இலங்கைக்கான வதிவிட ஒருங்கிணைப்பாளர் மற்றும் இலங்கை சாரணர் சங்கம் ஆகியன இணைந்து இவ்வருட சர்வதேச தாய்மொழி தினத்தை ஏற்பாடு செய்திருந்தன.

தாய்மொழியைப் பாதுகாப்பதற்காக உயிர் தியாகம் செய்தவர்களை நினைவுகூரும் வகையில், விழாவின் ஆரம்பத்தில் பிரதமர் உள்ளிட்ட அனைவரும் ஒரு நிமிடம் மௌன அஞ்சலி செலுத்தினர்.

´தாய், தாய்மொழி, தாய்நாடு´ என்பது இந்த ஆண்டு கொண்டாட்டத்தின் தொனிப்பொருளாகும். இந்த மூன்று விலைமதிப்பற்ற சொத்துக்களை பாதுகாப்பதற்கான நமது முயற்சிகளை புதுப்பிப்போம் என்பதே இந்த ஆண்டு கொண்டாட்டத்தின் முக்கிய செய்தியாகும்.

சர்வதேச தாய்மொழி தினத்தை முன்னிட்டு ´தாய், தாய்மொழி, தாய்நாடு´ என்ற தொனிப்பொருளில் மூன்று தொகுதிகளாக நடத்தப்பட்ட கட்டுரை மற்றும் சித்திரப் போட்டிகளில் வெற்றி பெற்ற 15 வெற்றியாளர்களுக்கு இதன்போது பரிசில்களும் சான்றிதழ்களும் வழங்கப்பட்டன. சித்திரப் போட்டியில் வெற்றி பெற்ற மூன்று மாணவர்களும் பிரதமரிடம் இருந்து பரிசில்கள் மற்றும் சான்றிதழ்களைப் பெற்றுக் கொண்டனர்.

பெபிலியான ரஜ மஹா விகாராதிபதி வெல்லம்பிடியே சுமன தம்ம தேரர் உள்ளிட்ட மஹாசங்கத்தினரும் நிகழ்வில் பங்கேற்றிருந்தனர்.

இந்தியா, பங்களாதேஷ், ரஷ்யா, மாலைதீவு மற்றும் பிரான்ஸ் நாட்டின் கலாசார அம்சங்கள் மற்றும் சிங்கள, தமிழ் பாடல்களின் மூலம் நிகழ்வு சிறப்பிக்கப்பட்டது.",http://tamil.adaderana.lk/news.php?nid=157781,2022-02-21,general,data/valid_records/Yathursiya_tamil_32.json,ta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Panadura ambulance shooting: Main suspect detained to be interrogated,"The court has granted permission to detain the main suspect in the attempted murder of an ambulance driver at the Kethumathi Hospital in Panadura for seven days and to be interrogated. He was produced before the Panadura Magistrate's Court yesterday. A team of officers from the Panadura South Police Station arrested the suspect last night with 8 grams of heroin. The suspect is a 32-year-old resident of Kuruppumulla, Panadura.",https://www.hirunews.lk/english/296630/panadura-ambulance-shooting-main-suspect-detained-to-be-interrogated,2022-02-10,crime,data/valid_records/Akesh_127_en.json,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Plans to expand MRIA as an international airport,"Tourism Minister Prasanna Ranatunga says that the measures taken by the government to transform the Mattala International Airport into an active airport will be further expanded this year. The Minister pointed out that it is in discussions with several of the world's leading airlines to launch its international flights. He also expressed confidence that these airlines would commence international operations at the Mattala Airport this year. During the last year, Mattala Airport handled 32,957 passenger flights and handled 722 aircraft, out of which 584 of them are international aircrafts. It is also stated that the number of tourists who arrived in the country from Mattala Airport during the period from 1st January to 3rd February this year was 2919.",https://www.hirunews.lk/english/296575/plans-to-expand-mria-as-an-international-airport,2022-02-09,general,data/valid_records/Akesh_137_en.json,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sri Lanka confirms another 36 coronavirus deaths,"The Director General of Health Services has confirmed another 36 coronavirus related deaths for February 13, increasing the death toll in the country due to the virus to 15,844.The deaths reported today includes 20 males and 16 females, according to the figures released by the Government Information Department.",http://www.adaderana.lk/news/80590/sri-lanka-confirms-another-36-coronavirus-deaths,2022-02-14,"covid, health",data/valid_records/Tharusha_169.json,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMF Programme Not Necessary Just Now – CBSL Governor,"As per the six month road map, swap agreements with India, China and Bangladesh are helping Sri Lanka to ease the foreign exchange crises, stated Central Bank of Sri Lanka (CBSL) Governor Ajith Nivard Cabraal, who reiterated that Sri Lanka would not default on its debt obligations.Speaking to international news wire, the Central Bank Governor said that current issues could be managed through increase of non debt inflows like securitisation of workers’ remittances, sale of underutilised assets and revenue from tourism. The Governor added, “This year, all Sri Lankan Development Bonds have rolled over, which amounts to around US$ 300 million, and also treasury bills and bond auctions are all successful with interest rates marginally reducing, which shows investor confidence.” When questioned regarding going for an IMF programme, Cabraal replied that there is no need for an IMF programme as the investors are confident in Sri Lanka and this is reflected in bond subscription.",https://ceylontoday.lk/news/imf-programme-not-necessary-just-now-cbsl-governor,2022-02-19,economic,data/valid_records/Kajaani_eng_26.json,en,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
விகாரையில் களவாடிய சந்தேகநபர்களை கைது செய்ய பொது மக்களின் உதவியை நாடும் காவல்துறை,"ரம்புக்கனை - தெலிவல கொடவெஹெர ரஜமஹா விகாரையில் பெறுமதிமிக்க தங்க கலசங்கள் உள்ளிட்டவை கொள்ளையிடப்பட்ட சம்பவத்துடன் தொடர்புடைய சந்தேகநபர்களை கைது செய்வதற்கான உரிய தகவல்களை வழங்குபவர்களுக்கு 25 லட்சம் ரூபா சன்மானம் வழங்க காவல்துறை தலைமையகம் தீர்மானித்துள்ளது.

உரிய தகவல்களை வழங்குபவர்கள் தொடர்பான ரகசிய தன்மை பேணப்படும் எனவும் அறிவிக்கப்பட்டுள்ளது.

இதற்கமைய குறித்த கொள்ளை சம்பவம் தொடர்பில் தகவல் அறிந்தவர்கள் 071 85 91 772 அல்லது 071 859 49 24 என்ற இலக்கத்திற்கு அழைப்பை ஏற்படுத்துமாறு கோரப்பட்டுள்ளது.

அத்துடன் 0112 422 176 என்ற இலக்கத்திற்கு அழைப்பை ஏற்படுத்தி குற்றப்புலனாய்வு திணைக்களத்தின் சுற்றிவளைப்பு பிரிவுக்கும் தகவல்களை வழங்க முடியும் என காவல்துறை தலைமையகம் தெரிவித்துள்ளது.",https://www.hirunews.lk/sooriyanfmnews/297394/%E0%AE%B5%E0%AE%BF%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B3%E0%AE%B5%E0%AE%BE%E0%AE%9F%E0%AE%BF%E0%AE%AF-%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%87%E0%AE%95%E0%AE%A8%E0%AE%AA%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%88-%E0%AE%95%E0%AF%88%E0%AE%A4%E0%AF%81-%E0%AE%9A%E0%AF%86%E0%AE%AF%E0%AF%8D%E0%AE%AF-%E0%AE%AA%E0%AF%8A%E0%AE%A4%E0%AF%81-%E0%AE%AE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%89%E0%AE%A4%E0%AE%B5%E0%AE%BF%E0%AE%AF%E0%AF%88-%E0%AE%A8%E0%AE%BE%E0%AE%9F%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%B5%E0%AE%B2%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%B1%E0%AF%88,2022-02-18,crime,data/valid_records/Yathursiya_tamil_173.json,ta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
